,measure_id,measure_name,location_id,location_name,fips,race_id,race_name,sex_id,sex_name,age_group_id,age_name,cause_id,cause_name,year,metric_id,metric_name,val,upper,lower
0,1,Deaths,102,United States of America,,1,Total,3,Both,28,<1 year,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,0.0,0.0,0.0
1,1,Deaths,102,United States of America,,2,Latino,3,Both,28,<1 year,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,0.0,0.0,0.0
2,1,Deaths,102,United States of America,,4,Black,3,Both,28,<1 year,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,0.0,0.0,0.0
3,1,Deaths,102,United States of America,,5,White,3,Both,28,<1 year,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,0.0,0.0,0.0
4,1,Deaths,102,United States of America,,6,AIAN,3,Both,28,<1 year,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,0.0,0.0,0.0
5,1,Deaths,102,United States of America,,7,Asian,3,Both,28,<1 year,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,0.0,0.0,0.0
6,1,Deaths,102,United States of America,,1,Total,3,Both,5,1 to 4,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,1.58030772329893e-06,1.80777015451171e-06,1.36169318584017e-06
7,1,Deaths,102,United States of America,,2,Latino,3,Both,5,1 to 4,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,1.34668297520663e-06,1.68796535481903e-06,1.05765040603692e-06
8,1,Deaths,102,United States of America,,4,Black,3,Both,5,1 to 4,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,2.51603358701063e-06,3.05079616863921e-06,2.01644017011698e-06
9,1,Deaths,102,United States of America,,5,White,3,Both,5,1 to 4,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,1.4058353073394e-06,1.63730288722293e-06,1.19050958589161e-06
10,1,Deaths,102,United States of America,,6,AIAN,3,Both,5,1 to 4,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,2.57434522640342e-06,3.58790552515352e-06,1.73362486989458e-06
11,1,Deaths,102,United States of America,,7,Asian,3,Both,5,1 to 4,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,1.50331803699843e-06,2.37335329899681e-06,8.65241104586113e-07
12,1,Deaths,102,United States of America,,1,Total,3,Both,6,5 to 9,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,3.7387159088641e-07,4.41238305223502e-07,3.14009188840637e-07
13,1,Deaths,102,United States of America,,2,Latino,3,Both,6,5 to 9,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,3.37757354889896e-07,4.28124290104961e-07,2.59384989317529e-07
14,1,Deaths,102,United States of America,,4,Black,3,Both,6,5 to 9,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,5.51905397683318e-07,6.91405873915217e-07,4.24103102609266e-07
15,1,Deaths,102,United States of America,,5,White,3,Both,6,5 to 9,521,Cirrhosis and other chronic liver diseases,2000,3,Rate,3.21794926230588e-07,3.86677985349252e-07,2.65044572188121e-07
